project;bugtype;count;version
RxJava;JMH_BENCHMARK_METHOD_FOUND;215;6fefdc6e6ca253f4fea2a576a0e6e93ee340491e
RxJava;JMH_LOOP_INSIDE_BENCHMARK;13;6fefdc6e6ca253f4fea2a576a0e6e93ee340491e
RxJava;JMH_DEAD_STORE_VARIABLE;4;6fefdc6e6ca253f4fea2a576a0e6e93ee340491e
feign;JMH_DEAD_STORE_VARIABLE;82;a25423c0233ea1f0b0da8802b60c128133a1e640
feign;JMH_BENCHMARK_METHOD_FOUND;8;a25423c0233ea1f0b0da8802b60c128133a1e640
feign;JMH_FIXTURE_USING_INVOCATION_SCOPE;1;a25423c0233ea1f0b0da8802b60c128133a1e640
netty;JMH_DEAD_STORE_VARIABLE;479;182ffdaf6d4c067514fc70b00c4a5abc67753531
netty;JMH_BENCHMARK_METHOD_FOUND;159;182ffdaf6d4c067514fc70b00c4a5abc67753531
netty;JMH_UNSINKED_VARIABLE;21;182ffdaf6d4c067514fc70b00c4a5abc67753531
netty;JMH_LOOP_INSIDE_BENCHMARK;36;182ffdaf6d4c067514fc70b00c4a5abc67753531
netty;JMH_UNSAFELOOP_INSIDE_BENCHMARK;14;182ffdaf6d4c067514fc70b00c4a5abc67753531
netty;JMH_IGNORED_STATIC_METHOD_RETURN;10;182ffdaf6d4c067514fc70b00c4a5abc67753531
netty;JMH_FIXTURE_USING_INVOCATION_SCOPE;2;182ffdaf6d4c067514fc70b00c4a5abc67753531
netty;JMH_STATE_FINAL_PRIMITIVE;2;182ffdaf6d4c067514fc70b00c4a5abc67753531
zipkin;JMH_DEAD_STORE_VARIABLE;29;9b1f5295b2bd9715f4c3ded4fd18fdd710b563c9
zipkin;JMH_BENCHMARK_METHOD_FOUND;74;9b1f5295b2bd9715f4c3ded4fd18fdd710b563c9
zipkin;JMH_UNSINKED_VARIABLE;1;9b1f5295b2bd9715f4c3ded4fd18fdd710b563c9
druid;JMH_DEAD_STORE_VARIABLE;2068;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
druid;JMH_BENCHMARK_METHOD_FOUND;148;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
druid;JMH_LOOP_INSIDE_BENCHMARK;163;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
druid;JMH_UNSINKED_VARIABLE;86;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
druid;JMH_UNSAFELOOP_INSIDE_BENCHMARK;11;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
druid;JMH_FIXTURE_USING_INVOCATION_SCOPE;2;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
druid;JMH_STATE_FINAL_PRIMITIVE;1;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
okio;JMH_BENCHMARK_METHOD_FOUND;19;105c2411448a726fe2d2a90c2e13d7e30ff79f43
okio;JMH_LOOP_INSIDE_BENCHMARK;5;105c2411448a726fe2d2a90c2e13d7e30ff79f43
okio;JMH_FIXTURE_USING_INVOCATION_SCOPE;1;105c2411448a726fe2d2a90c2e13d7e30ff79f43
okio;JMH_DEAD_STORE_VARIABLE;53;105c2411448a726fe2d2a90c2e13d7e30ff79f43
grpc-java;JMH_BENCHMARK_METHOD_FOUND;3;f3ef2850a9c5e04b45d3a68ab86034aec57ccc4f
grpc-java;JMH_LOOP_INSIDE_BENCHMARK;2;f3ef2850a9c5e04b45d3a68ab86034aec57ccc4f
grpc-java;JMH_UNSINKED_VARIABLE;1;f3ef2850a9c5e04b45d3a68ab86034aec57ccc4f
caffeine;JMH_DEAD_STORE_VARIABLE;302;5851960f38b4431891a185b5105affbf1ec4228f
caffeine;JMH_BENCHMARK_METHOD_FOUND;38;5851960f38b4431891a185b5105affbf1ec4228f
caffeine;JMH_LOOP_INSIDE_BENCHMARK;10;5851960f38b4431891a185b5105affbf1ec4228f
caffeine;JMH_IGNORED_STATIC_METHOD_RETURN;1;5851960f38b4431891a185b5105affbf1ec4228f
caffeine;JMH_UNSINKED_VARIABLE;3;5851960f38b4431891a185b5105affbf1ec4228f
h2o-3;JMH_DEAD_STORE_VARIABLE;39;5e11da6fcc94f9ffca2a3af2d0e37f591fccbccd
h2o-3;JMH_BENCHMARK_METHOD_FOUND;18;5e11da6fcc94f9ffca2a3af2d0e37f591fccbccd
h2o-3;JMH_LOOP_INSIDE_BENCHMARK;13;5e11da6fcc94f9ffca2a3af2d0e37f591fccbccd
h2o-3;JMH_FIXTURE_USING_INVOCATION_SCOPE;10;5e11da6fcc94f9ffca2a3af2d0e37f591fccbccd
