project;bugtype;count;version
RxJava;JMH_BENCHMARK_METHOD_FOUND;215;na
RxJava;JMH_LOOP_INSIDE_BENCHMARK;13;na
RxJava;JMH_DEAD_STORE_VARIABLE;4;na
feign;JMH_DEAD_STORE_VARIABLE;6;na
feign;JMH_BENCHMARK_METHOD_FOUND;8;na
feign;JMH_FIXTURE_USING_INVOCATION_SCOPE;1;na
netty;JMH_DEAD_STORE_VARIABLE;203;na
netty;JMH_BENCHMARK_METHOD_FOUND;159;na
netty;JMH_UNSINKED_VARIABLE;21;na
netty;JMH_LOOP_INSIDE_BENCHMARK;36;na
netty;JMH_UNSAFELOOP_INSIDE_BENCHMARK;14;na
netty;JMH_IGNORED_STATIC_METHOD_RETURN;10;na
netty;JMH_FIXTURE_USING_INVOCATION_SCOPE;2;na
netty;JMH_STATE_FINAL_PRIMITIVE;2;na
zipkin;JMH_DEAD_STORE_VARIABLE;11;na
zipkin;JMH_BENCHMARK_METHOD_FOUND;74;na
zipkin;JMH_UNSINKED_VARIABLE;1;na
druid;JMH_DEAD_STORE_VARIABLE;1256;na
druid;JMH_BENCHMARK_METHOD_FOUND;148;na
druid;JMH_LOOP_INSIDE_BENCHMARK;163;na
druid;JMH_UNSINKED_VARIABLE;86;na
druid;JMH_UNSAFELOOP_INSIDE_BENCHMARK;11;na
druid;JMH_FIXTURE_USING_INVOCATION_SCOPE;2;na
druid;JMH_STATE_FINAL_PRIMITIVE;1;na
okio;JMH_BENCHMARK_METHOD_FOUND;19;na
okio;JMH_LOOP_INSIDE_BENCHMARK;5;na
okio;JMH_FIXTURE_USING_INVOCATION_SCOPE;1;na
okio;JMH_DEAD_STORE_VARIABLE;12;na
grpc-java;JMH_BENCHMARK_METHOD_FOUND;3;na
grpc-java;JMH_LOOP_INSIDE_BENCHMARK;2;na
grpc-java;JMH_UNSINKED_VARIABLE;1;na
caffeine;JMH_BENCHMARK_METHOD_FOUND;38;na
caffeine;JMH_LOOP_INSIDE_BENCHMARK;10;na
caffeine;JMH_IGNORED_STATIC_PRIMITIVE_METHOD_RETURN;1;na
caffeine;JMH_UNSINKED_VARIABLE;3;na
caffeine;JMH_DEAD_STORE_VARIABLE;160;na
h2o-3;JMH_BENCHMARK_METHOD_FOUND;18;na
h2o-3;JMH_LOOP_INSIDE_BENCHMARK;13;na
h2o-3;JMH_FIXTURE_USING_INVOCATION_SCOPE;10;na
h2o-3;JMH_DEAD_STORE_VARIABLE;19;na
h2o-3;JMH_UNSAFELOOP_INSIDE_BENCHMARK;6;na
h2o-3;JMH_UNSINKED_VARIABLE;1;na
gs-collections;JMH_DEAD_STORE_VARIABLE;153;na
gs-collections;JMH_BENCHMARK_METHOD_FOUND;451;na
gs-collections;JMH_UNSINKED_VARIABLE;85;na
gs-collections;JMH_LOOP_INSIDE_BENCHMARK;114;na
gs-collections;JMH_IGNORED_STATIC_PRIMITIVE_METHOD_RETURN;13;na
byte-buddy;JMH_BENCHMARK_METHOD_FOUND;39;na
byte-buddy;JMH_UNSINKED_VARIABLE;4;na
pinot;JMH_DEAD_STORE_VARIABLE;159;na
pinot;JMH_BENCHMARK_METHOD_FOUND;31;na
pinot;JMH_LOOP_INSIDE_BENCHMARK;31;na
pinot;JMH_UNSAFELOOP_INSIDE_BENCHMARK;16;na
pinot;JMH_UNSINKED_VARIABLE;7;na
JCTools;JMH_DEAD_STORE_VARIABLE;58;na
JCTools;JMH_BENCHMARK_METHOD_FOUND;92;na
JCTools;JMH_UNSINKED_VARIABLE;22;na
JCTools;JMH_LOOP_INSIDE_BENCHMARK;41;na
JCTools;JMH_FIXTURE_USING_INVOCATION_SCOPE;2;na
JCTools;JMH_UNSAFELOOP_INSIDE_BENCHMARK;1;na
apollo;JMH_BENCHMARK_METHOD_FOUND;1;na
apollo;JMH_LOOP_INSIDE_BENCHMARK;2;na
apollo;JMH_UNSINKED_VARIABLE;1;na
stagemonitor;JMH_BENCHMARK_METHOD_FOUND;6;na
stagemonitor;JMH_LOOP_INSIDE_BENCHMARK;2;na
java;JMH_BENCHMARK_METHOD_FOUND;2;na
java;JMH_LOOP_INSIDE_BENCHMARK;2;na
pushy;JMH_BENCHMARKMODE_SINGLESHOT;1;na
pushy;JMH_BENCHMARK_METHOD_FOUND;2;na
pushy;JMH_LOOP_INSIDE_BENCHMARK;1;na
pushy;JMH_DEAD_STORE_VARIABLE;2;na
RoaringBitmap;JMH_DEAD_STORE_VARIABLE;62;na
RoaringBitmap;JMH_BENCHMARK_METHOD_FOUND;255;na
RoaringBitmap;JMH_LOOP_INSIDE_BENCHMARK;121;na
RoaringBitmap;JMH_UNSAFELOOP_INSIDE_BENCHMARK;47;na
RoaringBitmap;JMH_UNSINKED_VARIABLE;89;na
RoaringBitmap;JMH_STATE_FINAL_PRIMITIVE;7;na
RoaringBitmap;JMH_IGNORED_STATIC_PRIMITIVE_METHOD_RETURN;2;na
RoaringBitmap;JMH_IGNORED_STATIC_METHOD_RETURN;2;na
RoaringBitmap;JMH_DEAD_STORE_VARIABLE;62;na
RoaringBitmap;JMH_BENCHMARK_METHOD_FOUND;255;na
RoaringBitmap;JMH_LOOP_INSIDE_BENCHMARK;121;na
RoaringBitmap;JMH_UNSAFELOOP_INSIDE_BENCHMARK;47;na
RoaringBitmap;JMH_UNSINKED_VARIABLE;89;na
RoaringBitmap;JMH_STATE_FINAL_PRIMITIVE;7;na
RoaringBitmap;JMH_IGNORED_STATIC_PRIMITIVE_METHOD_RETURN;2;na
RoaringBitmap;JMH_IGNORED_STATIC_METHOD_RETURN;2;na
rtree;JMH_BENCHMARK_METHOD_FOUND;42;na
commonmark-java;JMH_BENCHMARK_METHOD_FOUND;4;na
hppc;JMH_BENCHMARK_METHOD_FOUND;5;na
hppc;JMH_BENCHMARKMODE_SINGLESHOT;3;na
hppc;JMH_DEAD_STORE_VARIABLE;14;na
es4j;JMH_BENCHMARK_METHOD_FOUND;4;na
es4j;JMH_LOOP_INSIDE_BENCHMARK;1;na
es4j;JMH_UNSINKED_VARIABLE;1;na
pgjdbc;JMH_DEAD_STORE_VARIABLE;14;na
pgjdbc;JMH_BENCHMARKMODE_SINGLESHOT;1;na
pgjdbc;JMH_BENCHMARK_METHOD_FOUND;35;na
pgjdbc;JMH_UNSINKED_VARIABLE;8;na
pgjdbc;JMH_NOTFORKED_BENCHMARK;2;na
pgjdbc;JMH_LOOP_INSIDE_BENCHMARK;18;na
logging-log4j2;JMH_DEAD_STORE_VARIABLE;1357;na
logging-log4j2;JMH_BENCHMARK_METHOD_FOUND;346;na
logging-log4j2;JMH_UNSINKED_VARIABLE;19;na
logging-log4j2;JMH_IGNORED_STATIC_PRIMITIVE_METHOD_RETURN;5;na
logging-log4j2;JMH_BENCHMARKMODE_SINGLESHOT;5;na
logging-log4j2;JMH_LOOP_INSIDE_BENCHMARK;11;na
logging-log4j2;JMH_UNSAFELOOP_INSIDE_BENCHMARK;6;na
logging-log4j2;JMH_STATE_FINAL_PRIMITIVE;4;na
xodus;JMH_DEAD_STORE_VARIABLE;125;na
xodus;JMH_BENCHMARKMODE_SINGLESHOT;34;na
xodus;JMH_BENCHMARK_METHOD_FOUND;66;na
xodus;JMH_FIXTURE_USING_INVOCATION_SCOPE;18;na
xodus;JMH_LOOP_INSIDE_BENCHMARK;26;na
xodus;JMH_UNSINKED_VARIABLE;16;na
xodus;JMH_UNSAFELOOP_INSIDE_BENCHMARK;7;na
javaslang-circuitbreaker;JMH_DEAD_STORE_VARIABLE;300;na
