project;bugtype;count;version
feign;JMH_BENCHMARK_METHOD_FOUND;8;a25423c0233ea1f0b0da8802b60c128133a1e640
feign;JMH_FIXTURE_USING_INVOCATION_SCOPE;1;a25423c0233ea1f0b0da8802b60c128133a1e640
feign;JMH_STATE_FINAL_FIELD;19;a25423c0233ea1f0b0da8802b60c128133a1e640
zipkin;JMH_BENCHMARK_METHOD_FOUND;74;9b1f5295b2bd9715f4c3ded4fd18fdd710b563c9
zipkin;JMH_STATE_FINAL_FIELD;96;9b1f5295b2bd9715f4c3ded4fd18fdd710b563c9
zipkin;JMH_IGNORED_METHOD_RETURN;1;9b1f5295b2bd9715f4c3ded4fd18fdd710b563c9
druid;JMH_BENCHMARK_METHOD_FOUND;148;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
druid;JMH_LOOP_INSIDE_BENCHMARK;163;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
druid;JMH_STATE_FINAL_FIELD;360;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
druid;JMH_IGNORED_METHOD_RETURN;22;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
druid;JMH_FIXTURE_USING_INVOCATION_SCOPE;2;67ff7dacbdb74981509bc7ce3b75a4f75dae306d
okio;JMH_BENCHMARK_METHOD_FOUND;19;105c2411448a726fe2d2a90c2e13d7e30ff79f43
okio;JMH_IGNORED_METHOD_RETURN;20;105c2411448a726fe2d2a90c2e13d7e30ff79f43
okio;JMH_LOOP_INSIDE_BENCHMARK;5;105c2411448a726fe2d2a90c2e13d7e30ff79f43
okio;JMH_STATE_FINAL_FIELD;44;105c2411448a726fe2d2a90c2e13d7e30ff79f43
okio;JMH_FIXTURE_USING_INVOCATION_SCOPE;1;105c2411448a726fe2d2a90c2e13d7e30ff79f43
caffeine;JMH_BENCHMARK_METHOD_FOUND;38;5851960f38b4431891a185b5105affbf1ec4228f
caffeine;JMH_STATE_FINAL_FIELD;146;5851960f38b4431891a185b5105affbf1ec4228f
caffeine;JMH_LOOP_INSIDE_BENCHMARK;10;5851960f38b4431891a185b5105affbf1ec4228f
caffeine;JMH_IGNORED_METHOD_RETURN;1;5851960f38b4431891a185b5105affbf1ec4228f
h2o-3;JMH_BENCHMARK_METHOD_FOUND;18;5e11da6fcc94f9ffca2a3af2d0e37f591fccbccd
h2o-3;JMH_LOOP_INSIDE_BENCHMARK;13;5e11da6fcc94f9ffca2a3af2d0e37f591fccbccd
h2o-3;JMH_STATE_FINAL_FIELD;72;5e11da6fcc94f9ffca2a3af2d0e37f591fccbccd
h2o-3;JMH_FIXTURE_USING_INVOCATION_SCOPE;10;5e11da6fcc94f9ffca2a3af2d0e37f591fccbccd
gs-collections;JMH_BENCHMARK_METHOD_FOUND;451;fa8bf3e103689efa18bca2ab70203e71cde34b52
gs-collections;JMH_STATE_FINAL_FIELD;520;fa8bf3e103689efa18bca2ab70203e71cde34b52
gs-collections;JMH_IGNORED_METHOD_RETURN;41;fa8bf3e103689efa18bca2ab70203e71cde34b52
gs-collections;JMH_LOOP_INSIDE_BENCHMARK;114;fa8bf3e103689efa18bca2ab70203e71cde34b52
byte-buddy;JMH_BENCHMARK_METHOD_FOUND;39;85385dc21b1bf2374ea3f011ad37d52831f4d620
byte-buddy;JMH_STATE_FINAL_FIELD;42;85385dc21b1bf2374ea3f011ad37d52831f4d620
pinot;JMH_BENCHMARK_METHOD_FOUND;31;70010adad0be73a625cf37cecce1203fce927be6
pinot;JMH_LOOP_INSIDE_BENCHMARK;31;70010adad0be73a625cf37cecce1203fce927be6
pinot;JMH_STATE_FINAL_FIELD;82;70010adad0be73a625cf37cecce1203fce927be6
pinot;JMH_IGNORED_METHOD_RETURN;1;70010adad0be73a625cf37cecce1203fce927be6
JCTools;JMH_BENCHMARK_METHOD_FOUND;92;72c55e5bee5ed05e47c5f997f8d4bc9d736659d1
JCTools;JMH_STATE_FINAL_FIELD;367;72c55e5bee5ed05e47c5f997f8d4bc9d736659d1
JCTools;JMH_LOOP_INSIDE_BENCHMARK;41;72c55e5bee5ed05e47c5f997f8d4bc9d736659d1
JCTools;JMH_IGNORED_METHOD_RETURN;8;72c55e5bee5ed05e47c5f997f8d4bc9d736659d1
JCTools;JMH_FIXTURE_USING_INVOCATION_SCOPE;2;72c55e5bee5ed05e47c5f997f8d4bc9d736659d1
stagemonitor;JMH_BENCHMARK_METHOD_FOUND;6;744e78e582835ecfc566de6d8bd7e7b8ec455219
stagemonitor;JMH_LOOP_INSIDE_BENCHMARK;2;744e78e582835ecfc566de6d8bd7e7b8ec455219
stagemonitor;JMH_STATE_FINAL_FIELD;14;744e78e582835ecfc566de6d8bd7e7b8ec455219
stagemonitor;JMH_IGNORED_METHOD_RETURN;1;744e78e582835ecfc566de6d8bd7e7b8ec455219
java;JMH_BENCHMARK_METHOD_FOUND;2;c1db5fbdab10ef2919ec3b10680bb1639ad0b2e5
