project;file;count
requery;./requery-test/src/test/java/io/requery/test/BenchmarkTest.java;2
crate;./benchmarks/src/test/java/io/crate/analyze/PreExecutionBenchmark.java;7
crate;./benchmarks/src/test/java/io/crate/data/join/RowsBatchIteratorBenchmark.java;7
crate;./benchmarks/src/test/java/io/crate/execution/engine/aggregation/AggregateCollectorBenchmark.java;1
crate;./benchmarks/src/test/java/io/crate/execution/engine/aggregation/GroupingBytesRefCollectorBenchmark.java;1
crate;./benchmarks/src/test/java/io/crate/execution/engine/aggregation/GroupingIntegerCollectorBenchmark.java;1
crate;./benchmarks/src/test/java/io/crate/execution/engine/collect/collectors/LuceneBatchIteratorBenchmark.java;1
crate;./benchmarks/src/test/java/io/crate/execution/engine/collect/collectors/OrderedLuceneBatchIteratorBenchmark.java;1
crate;./benchmarks/src/test/java/io/crate/execution/engine/distribution/merge/SortedPagingIteratorBenchmark.java;4
crate;./benchmarks/src/test/java/io/crate/execution/jobs/NodeOperationCtxBenchmark.java;1
crate;./benchmarks/src/test/java/io/crate/expression/scalar/SubstrFunctionBenchmark.java;2
crate;./benchmarks/src/test/java/io/crate/operation/aggregation/HyperLogLogDistinctAggregationBenchmark.java;3
crate;./benchmarks/src/test/java/io/crate/protocols/postgres/QueryStringSplitterBenchmark.java;2
crate;./benchmarks/src/test/java/io/crate/types/StringTypeTest.java;1
simple-binary-encoding;./sbe-benchmarks/src/main/java/uk/co/real_logic/sbe/CarBenchmark.java;2
simple-binary-encoding;./sbe-benchmarks/src/main/java/uk/co/real_logic/sbe/MarketDataBenchmark.java;2
btrace;./benchmark/src/main/java/com/sun/btrace/runtime/OnMethodTemplateBenchmark.java;3
btrace;./benchmark/src/main/java/net/java/btrace/BTraceBench.java;20
btrace;./benchmark/src/main/java/net/java/btrace/ClassFilterBenchmark.java;4
btrace;./benchmark/src/main/java/net/java/btrace/ProbeLoadingBenchmark.java;1
btrace;./benchmark/src/main/java/net/java/btrace/ProfilerBenchmarks.java;6
btrace;./benchmark/src/main/java/net/java/btrace/StatsdBenchmarks.java;1
btrace;./benchmark/src/main/java/net/java/btrace/StringOpBenchmarks.java;3
TinyPinyin;./lib/src/jmh/java/com/github/promeg/pinyinhelper/PinyinDictBenchmark1.java;2
TinyPinyin;./lib/src/jmh/java/com/github/promeg/pinyinhelper/PinyinDictBenchmark2.java;2
TinyPinyin;./lib/src/jmh/java/com/github/promeg/pinyinhelper/PinyinSampleBenchmark.java;4
blynk-server;./server/core/src/test/java/cc/blynk/test/utils/ByteBufPerfTest.java;2
blynk-server;./server/core/src/test/java/cc/blynk/test/utils/StringUtilPerfTest.java;12
blynk-server;./server/core/src/test/java/cc/blynk/test/utils/TokenPerfTest.java;2
cyclops-react;./cyclops/src/jmh/java/cyclops/reactiveSeq/Combinations.java;3
cyclops-react;./cyclops/src/jmh/java/cyclops/reactiveSeq/FindFirst.java;2
cyclops-react;./cyclops/src/jmh/java/cyclops/reactiveSeq/FlatMapCollect.java;3
cyclops-react;./cyclops/src/jmh/java/cyclops/reactiveSeq/FlatMapForEach.java;3
cyclops-react;./cyclops/src/jmh/java/cyclops/reactiveSeq/FlatMapLarge.java;2
cyclops-react;./cyclops/src/jmh/java/cyclops/reactiveSeq/Map.java;3
cyclops-react;./cyclops/src/jmh/java/cyclops/reactiveSeq/Map5.java;3
cyclops-react;./cyclops/src/jmh/java/cyclops/reactiveSeq/MapLarge.java;2
cyclops-react;./cyclops/src/jmh/java/scrabble/IdenticalToStream.java;1
cyclops-react;./cyclops/src/jmh/java/scrabble/IxScanLeftTakeRight.java;1
cyclops-react;./cyclops/src/jmh/java/scrabble/ScanLeftTakeRight.java;1
cyclops-react;./cyclops/src/jmh/java/scrabble/ShakespearePlaysScrabbleWithStreams.java;1
pcollections;./src/jmh/java/org/pcollections/benchmark/Benchmarks.java;14
artemis-odb;./artemis-core/artemis-performance-test/src/main/java/com/artemis/benchmark/InjectionBenchmark.java;1
spring-cloud-sleuth;./benchmarks/src/main/java/org/springframework/cloud/sleuth/benchmarks/jmh/benchmarks/AnnotationBenchmarks.java;2
spring-cloud-sleuth;./benchmarks/src/main/java/org/springframework/cloud/sleuth/benchmarks/jmh/benchmarks/AsyncBenchmarks.java;2
spring-cloud-sleuth;./benchmarks/src/main/java/org/springframework/cloud/sleuth/benchmarks/jmh/benchmarks/HttpFilterBenchmarks.java;4
spring-cloud-sleuth;./benchmarks/src/main/java/org/springframework/cloud/sleuth/benchmarks/jmh/benchmarks/RestTemplateBenchmark.java;2
spring-cloud-sleuth;./benchmarks/src/main/java/org/springframework/cloud/sleuth/benchmarks/jmh/benchmarks/StartupBenchmark.java;5
truffle;./compiler/src/org.graalvm.compiler.microbenchmarks/src/org/graalvm/compiler/microbenchmarks/graal/ConditionalEliminationBenchmark.java;3
truffle;./compiler/src/org.graalvm.compiler.microbenchmarks/src/org/graalvm/compiler/microbenchmarks/graal/FrameStateAssigmentPhaseBenchmark.java;1
truffle;./compiler/src/org.graalvm.compiler.microbenchmarks/src/org/graalvm/compiler/microbenchmarks/graal/GraphCopyBenchmark.java;2
truffle;./compiler/src/org.graalvm.compiler.microbenchmarks/src/org/graalvm/compiler/microbenchmarks/graal/NodeBenchmark.java;14
truffle;./compiler/src/org.graalvm.compiler.microbenchmarks/src/org/graalvm/compiler/microbenchmarks/graal/SchedulePhaseBenchmark.java;13
