project,forked,watchers,stars,forks,subscribers
davidmoten/rxjava2-extras,FALSE,19,19,3,3
ssaarela/javersion,FALSE,18,18,3,4
platan/idea-gradle-dependencies-formatter,FALSE,18,18,1,4
biboudis/jmh-profilers,FALSE,18,18,4,3
graalvm/mx,FALSE,17,17,30,34
thheller/shadow-pgsql,FALSE,17,17,0,2
Vanilla-Java/Microservices,FALSE,16,16,4,6
jerrinot/FieldMagic,FALSE,16,16,2,5
msteindorfer/oopsla15-artifact,FALSE,16,16,2,1
NICTA/javallier,FALSE,15,15,7,9
biboudis/streamalg,FALSE,15,15,1,6
winklerm/phreak-examples,FALSE,15,15,5,5
junkdog/entity-system-benchmarks,FALSE,15,15,6,4
Swrve/rate-limited-logger,FALSE,14,14,2,59
cryptomator/cryptolib,FALSE,14,14,6,9
kno10/reversegeocode,FALSE,13,13,1,4
davidmoten/rtree-3d,FALSE,13,13,5,2
Squarespace/template-compiler,FALSE,12,12,3,23
vladimir-bukhtoyarov/rolling-metrics,FALSE,12,12,4,5
vongosling/jvm-serializer,FALSE,12,12,10,5
vladimir-bukhtoyarov/metrics-core-hdr,FALSE,12,12,4,5
cache2k/cache2k-benchmark,FALSE,12,12,2,3
martijnvg/elasticsearch,TRUE,12,12,3,2
trautonen/logback-ext,FALSE,12,12,26,1
FIXTradingCommunity/silverflash,FALSE,11,11,1,11
Mercateo/rest-schemagen,FALSE,11,11,8,7
huxi/sulky,FALSE,11,11,2,2
jchambers/jvptree,FALSE,11,11,2,2
akarnokd/rxjava2-backport,FALSE,11,11,1,1
Graylog2/graylog-plugin-pipeline-processor,FALSE,10,10,11,17
vlsi/compactmap,FALSE,10,10,2,4
RichardWarburton/java-final-benchmark,FALSE,10,10,4,3
titorenko/quick-csv-streamer,FALSE,10,10,1,2
Domo42/saga-lib,FALSE,9,9,5,9
OpenHFT/jvm-micro-benchmarks,FALSE,9,9,7,7
danielnorberg/rut,FALSE,9,9,4,2
jsubercaze/simhashdb,FALSE,9,9,4,2
udoprog/tiny-async-java,FALSE,9,9,7,1
orfjackal/cqrs-hotel,FALSE,9,9,0,1
arienkock/parallelism-benchmarks,FALSE,9,9,2,1
automenta/narchy,FALSE,8,8,0,7
akarnokd/akarnokd-misc,FALSE,8,8,3,3
s4ke/moar,FALSE,8,8,0,3
vladimirdolzhenko/gflogger,FALSE,8,8,3,2
xysun/sbe-erlang,FALSE,8,8,0,2
lucwillems/JavaLinuxNet,FALSE,8,8,3,2
gvsmirnov/jmh-gradle-sample,FALSE,8,8,2,1
cryptomator/siv-mode,FALSE,7,7,1,6
tudorv91/SparkJNI,FALSE,7,7,4,3
lemire/microbenchmarks,FALSE,7,7,1,2
tdunning/t-digest-benchmark,FALSE,7,7,3,2
ttsiodras/HexSpeak,FALSE,7,7,1,1
Squarespace/less-compiler,FALSE,6,6,3,21
larusba/neo4j-jdbc,FALSE,6,6,22,16
cinnober/msgcodec,FALSE,6,6,3,16
immutables/samples,FALSE,6,6,0,6
cheremin/fastlogger,FALSE,6,6,2,4
peptos/traffic-shm,FALSE,6,6,1,3
nithril/sandbox-query-benchmark-jooq-hibernate-jdbc,FALSE,6,6,4,2
chrisvest/object-pool-benchmarks,FALSE,6,6,2,2
bingoohuang/westcache,FALSE,6,6,2,2
shakamunyi/beam,FALSE,6,6,0,1
tobijdc/PRNG-Performance,FALSE,6,6,0,1
presidentio/test-data-generator,FALSE,6,6,1,1
Zappos/zappos-json,FALSE,5,5,1,6
ibodrov/bpm,FALSE,5,5,1,5
paninij/paninij,FALSE,5,5,4,4
alexeyr/pcg-java,FALSE,5,5,2,4
debop/debop4k,FALSE,5,5,1,2
nicoulaj/jmh-utils,FALSE,5,5,0,1
karlicoss/autohash,FALSE,5,5,1,1
protobufel/protobuf-el,FALSE,5,5,0,1
tootedom/spray-cache-spymemcached,FALSE,5,5,1,1
almondtools/stringbench,FALSE,5,5,3,1
wavesoftware/java-eid-exceptions,FALSE,5,5,2,1
taichi/json-benchmarks,FALSE,5,5,3,1
nitsanw/safepoint-experiments,FALSE,5,5,0,1
plokhotnyuk/scala-vs-java,FALSE,5,5,2,1
firebase/netty,TRUE,4,4,2,57
dimagi/commcare-core,FALSE,4,4,7,23
AdoptOpenJDK/vmbenchmarks,TRUE,4,4,0,15
golo-lang/golo-jmh-benchmarks,FALSE,4,4,0,15
benjchristensen/RxJava,TRUE,4,4,3,10
RapidPM/rapidpm-microservice,FALSE,4,4,3,10
JavaMicroService/rapidpm-microservice,FALSE,4,4,3,10
JetBrains-Research/viktor,FALSE,4,4,0,7
anonl/nvlist,FALSE,4,4,1,3
intropro/prairie,FALSE,4,4,3,3
srvaroa/jbcnconf,FALSE,4,4,4,3
CodeFX-org/lab-java8streamperformancebenchmark,FALSE,4,4,4,3
jjenkov/iap-tools-java-benchmarks,FALSE,4,4,4,3
b0ch3nski/rtla,FALSE,4,4,3,2
lukas-krecan/java8-playground,FALSE,4,4,1,2
m0wfo/false-sharing-demo,FALSE,4,4,1,2
tkowalcz/presentations,FALSE,4,4,1,1
irobertson/invokedynamic-talk-code,FALSE,4,4,1,1
udoprog/tiny-serializer-java,FALSE,4,4,1,1
davidmoten/audio-recognition,FALSE,4,4,2,1
arnaudroger/orm-benchmark,FALSE,4,4,0,1
gunnarmorling/hibernate-validator,TRUE,4,4,0,1
smoketurner/uploader,FALSE,4,4,1,1
komiya-atsushi/fast-rng-java,FALSE,4,4,0,0
cpoepke/demos,FALSE,4,4,1,0
spriet2000/vertx-http-router,FALSE,4,4,4,0
marklogic/marklogic-jena,FALSE,3,3,10,22
DataArt/CalculationEngine,FALSE,3,3,0,21
conversant/disruptor_benchmark,FALSE,3,3,0,8
ConSol/parallel-streams-example,TRUE,3,3,3,7
willhaben/blog,FALSE,3,3,2,5
johnaimes1a/f1x,FALSE,3,3,2,5
Java-Courses/collections-m0e4,FALSE,3,3,1,3
britter/to-array-benchmark,FALSE,3,3,0,3
vibneiro/dispatching,FALSE,3,3,1,2
amsa-code/risky,FALSE,3,3,4,2
bingoohuang/javacode-demo,FALSE,3,3,1,2
eranharel/memcached-java-clients-benchmark,FALSE,3,3,2,2
terma/fast-select,FALSE,3,3,4,1
yrcourage/netty,FALSE,3,3,1,1
batterseapower/timeseries-compression,FALSE,3,3,0,1
virsox/cepsim,FALSE,3,3,0,1
iNikem/jpoint2016,FALSE,3,3,0,1
SerCeMan/reflection-access-tests,FALSE,3,3,0,0
addthis/codec,FALSE,2,2,3,20
maxifier/mxcache,FALSE,2,2,3,12
puniverse/RxJava,TRUE,2,2,0,5
TechEmpower/misc,FALSE,2,2,1,4
thymeleaf/thymeleaf-benchmarks,FALSE,2,2,1,4
wallerlab/yoink,FALSE,2,2,1,4
gregor-i/nutria,FALSE,2,2,0,3
tullyliu/dynamicbean,FALSE,2,2,1,3
cleberecht/singa,FALSE,2,2,0,3
ThomasKrieger/benchmarks,FALSE,2,2,1,2
ennerf/flatbuffers-java-benchmark,FALSE,2,2,3,2
AgentTroll/TrollCommons,FALSE,2,2,1,2
jpaw/bonaparte-java,FALSE,2,2,2,2
jayware/entity-essentials,FALSE,2,2,1,2
DavideD/hibernate-ogm,TRUE,2,2,4,1
ghxandsky/benchmarx,TRUE,2,2,0,1
fizzed/template-benchmark,TRUE,2,2,0,1
prasanthj/hasher,FALSE,2,2,4,1
spriet2000/handlers,FALSE,2,2,0,1
wondee/faststring,FALSE,2,2,0,1
akarnokd/ReactiveChannel,FALSE,2,2,0,1
jkinable/jgrapht,TRUE,2,2,1,1
gpanther/benchmark-arraycopy,FALSE,2,2,1,1
gpanther/regex-libraries-benchmarks,FALSE,2,2,2,1
okrische/RoaringBitmap,TRUE,2,2,0,1
akarnokd/RxJava,TRUE,2,2,1,1
JervenBolleman/java-benchmarks,FALSE,2,2,0,1
nicoulaj/microbenchmarks,FALSE,2,2,0,1
evanj/expire-threadlocal,FALSE,2,2,0,0
prasanthj/bloomfilter,FALSE,2,2,0,0
comsysto/jmh-gradle-plugin,TRUE,1,1,0,63
droolsjbpm/kie-benchmarks,FALSE,1,1,4,9
jbonofre/incubator-beam,TRUE,1,1,0,8
darwin-evolution/darwin,FALSE,1,1,0,6
thelastpickle/cassandra,TRUE,1,1,0,5
RTBHOUSE/neural-network-native-ops,FALSE,1,1,3,5
motlin/eclipse-collections,TRUE,1,1,0,4
wenerme/seq,FALSE,1,1,1,3
drankye/directory-kerby,TRUE,1,1,0,3
d0k1/groovy-eval-bench,FALSE,1,1,0,2
reific/braid,FALSE,1,1,1,2
oblac/java-common-benchmarks,FALSE,1,1,1,2
taichi/jmh-gradle-ide,FALSE,1,1,0,2
coconut2015/cookjson,FALSE,1,1,0,2
RobAustin/byte-buddy,TRUE,1,1,1,2
Lawrence-zxc/springStarter,FALSE,1,1,3,2
abhijitsarkar/java,FALSE,1,1,2,2
canepat/Helios,FALSE,1,1,0,2
akarnokd/reactive-streams-impl,FALSE,1,1,0,2
jnordwick/zerog-grisu,FALSE,1,1,0,2
escalate42/Javaz-Benchmarks,FALSE,1,1,0,2
brharrington/spectator,TRUE,1,1,0,1
taer/lettuce,TRUE,1,1,1,1
wesleyegberto/courses-projects,FALSE,1,1,0,1
fpavageau/bench-filters,FALSE,1,1,0,1
notsyncing/lightfur,FALSE,1,1,0,1
d0k1/istree,FALSE,1,1,0,1
agdphd/jgrapht,TRUE,1,1,0,1
ecki/jmhbench-cryptospeed,FALSE,1,1,1,1
rafamonteiro/SerializationProtocolsBenchMark,FALSE,1,1,0,1
salyh/jsr353-benchmark,FALSE,1,1,1,1
octabase/fnr-java,FALSE,1,1,0,1
marksantos/simple-binary-encoding,TRUE,1,1,0,1
akashche/tzdata-jmh,FALSE,1,1,0,1
Abnaxos/guards,FALSE,1,1,0,1
toyama0919/presto,TRUE,1,1,0,1
maxdemarzi/neo_dislikes,FALSE,1,1,0,1
acisternino/narjillos-math-bench,FALSE,1,1,0,1
mcanthony/presto,TRUE,1,1,0,1
zxs/druid,TRUE,1,1,0,1
slandelle/netty,TRUE,1,1,0,1
msteindorfer/jmh,FALSE,1,1,0,1
d0k1/acache,FALSE,1,1,0,1
alexo/spinner,FALSE,1,1,0,1
cinquin/mutinack,FALSE,1,1,0,1
bckfnn/taggersty,FALSE,1,1,0,1
yanchith/pattern,FALSE,1,1,0,1
tjake/cassandra,TRUE,1,1,0,1
robertdale/tinkerpop,TRUE,1,1,0,1
arnaudroger/mapping-benchmark,FALSE,1,1,1,1
underyx/pgjdbc,TRUE,1,1,0,1
dain/aircompressor,TRUE,1,1,0,1
cheremin/scalarization,FALSE,1,1,0,1
martint/slice,TRUE,1,1,0,1
incubos/yoctodb,TRUE,1,1,0,1
maxdemarzi/ChronicleGraph,FALSE,1,1,1,1
tasomaniac/caffeine,TRUE,1,1,0,1
brettwooldridge/HikariJSON-benchmark,FALSE,1,1,0,1
dskinner/SiftXml,TRUE,1,1,0,1
rsby/gunmetal,TRUE,1,1,0,1
twineworks/collections,FALSE,1,1,0,1
isalnikov/ACMP,FALSE,1,1,0,1
nickman/UnsafeAdapter,FALSE,1,1,0,1
spiffykahuna/TIJ4-code_idea,FALSE,1,1,0,1
jajir/jblinktree,FALSE,1,1,0,1
nvoron23/incubator-calcite,TRUE,1,1,0,1
morj/xodus,TRUE,1,1,0,1
patrickpilch/Flyweight-Test,FALSE,1,1,0,1
nezihyigitbasi/presto,TRUE,1,1,0,1
Mart-Bogdan/vertx-hello,FALSE,1,1,2,1
amoAHCP/JavaOne2015JavaFXPitfalls,FALSE,1,1,0,1
davidhagar/java-microbenchmarks,FALSE,1,1,0,1
rodolfodpk/myeslib2,FALSE,1,1,2,1
mauricionr/Hystrix,TRUE,1,1,0,0
volkodava/disruptor-benchmark-tests,FALSE,1,1,0,0
soenter/netty,TRUE,1,1,0,0
Alex-Diez/Java-Algorithms,FALSE,1,1,0,0
virur7/netty,TRUE,1,1,0,0
Gohla/persistent-graph,FALSE,1,1,0,0
pinotlytics/pinot,TRUE,1,1,0,0
rolve/better-checks,FALSE,1,1,0,0
basho-labs/java-client-bench,FALSE,0,0,0,59
aerofs/netty,TRUE,0,0,0,32
liquidm/druid,TRUE,0,0,0,31
