project;bugtype;count;version
fast-rng-java;JMH_BENCHMARK_METHOD_FOUND;21;f98f0b6156aeab8f68e6ef4ba65b73a3f4799099
fast-rng-java;JMH_STATE_FINAL_FIELD;44;f98f0b6156aeab8f68e6ef4ba65b73a3f4799099
demos;JMH_STATE_FINAL_FIELD;14;8dd21b4adf0456ec70d285a488d35db1f1925929
demos;JMH_BENCHMARK_METHOD_FOUND;24;8dd21b4adf0456ec70d285a488d35db1f1925929
demos;JMH_IGNORED_METHOD_RETURN;24;8dd21b4adf0456ec70d285a488d35db1f1925929
vertx-http-router;JMH_BENCHMARK_METHOD_FOUND;2;b54cfd48297b321d0c7aa3656c67a370f43eba57
vertx-http-router;JMH_STATE_FINAL_FIELD;6;b54cfd48297b321d0c7aa3656c67a370f43eba57
marklogic-jena;JMH_BENCHMARK_METHOD_FOUND;1;c0859cb3532b88778ca59ef50579c23f94677b11
marklogic-jena;JMH_LOOP_INSIDE_BENCHMARK;1;c0859cb3532b88778ca59ef50579c23f94677b11
marklogic-jena;JMH_STATE_FINAL_FIELD;6;c0859cb3532b88778ca59ef50579c23f94677b11
disruptor_benchmark;JMH_BENCHMARK_METHOD_FOUND;16;ff37c7f5ccd94e847c0d00a3dc742c964a4c0158
disruptor_benchmark;JMH_LOOP_INSIDE_BENCHMARK;38;ff37c7f5ccd94e847c0d00a3dc742c964a4c0158
disruptor_benchmark;JMH_STATE_FINAL_FIELD;62;ff37c7f5ccd94e847c0d00a3dc742c964a4c0158
f1x;JMH_STATE_FINAL_FIELD;1;88cb0f98075a5dc5b467a5337f86abff3bc22366
collections-m0e4;JMH_BENCHMARK_METHOD_FOUND;2;356e59ef5660e16ae07c716bed0c1aa49844a307
collections-m0e4;JMH_IGNORED_METHOD_RETURN;2;356e59ef5660e16ae07c716bed0c1aa49844a307
collections-m0e4;JMH_LOOP_INSIDE_BENCHMARK;2;356e59ef5660e16ae07c716bed0c1aa49844a307
collections-m0e4;JMH_STATE_FINAL_FIELD;8;356e59ef5660e16ae07c716bed0c1aa49844a307
to-array-benchmark;JMH_BENCHMARK_METHOD_FOUND;4;c65cb5cc39bce489ca5df47f4523946b122f72d2
to-array-benchmark;JMH_STATE_FINAL_FIELD;21;c65cb5cc39bce489ca5df47f4523946b122f72d2
dispatching;JMH_STATE_FINAL_FIELD;58;b2337d602078f96f8c634d6d5530d675afd09f99
dispatching;JMH_BENCHMARK_METHOD_FOUND;9;b2337d602078f96f8c634d6d5530d675afd09f99
risky;JMH_BENCHMARK_METHOD_FOUND;5;06997ec6e6da48a4e5aebc7f3c8ffebdeb2e93f5
risky;JMH_IGNORED_METHOD_RETURN;11;06997ec6e6da48a4e5aebc7f3c8ffebdeb2e93f5
risky;JMH_STATE_FINAL_FIELD;4;06997ec6e6da48a4e5aebc7f3c8ffebdeb2e93f5
memcached-java-clients-benchmark;JMH_BENCHMARK_METHOD_FOUND;12;eab082918ff9913e7712ba5a0c7ccb3debaff92c
memcached-java-clients-benchmark;JMH_STATE_FINAL_FIELD;36;eab082918ff9913e7712ba5a0c7ccb3debaff92c
reflection-access-tests;JMH_STATE_FINAL_FIELD;53;37cfddc71ecd19e87630cc0c1f9b9956e65aaff2
mxcache;JMH_NOTFORKED_BENCHMARK;1;1990baba57d1393b573ba758f27251b9610d8fa4
mxcache;JMH_STATE_FINAL_FIELD;8;1990baba57d1393b573ba758f27251b9610d8fa4
flatbuffers-java-benchmark;JMH_BENCHMARK_METHOD_FOUND;13;e51df9e9eb2a50a60d9de06ce9bb25963d7d7e64
flatbuffers-java-benchmark;JMH_IGNORED_METHOD_RETURN;4;e51df9e9eb2a50a60d9de06ce9bb25963d7d7e64
flatbuffers-java-benchmark;JMH_STATE_FINAL_FIELD;14;e51df9e9eb2a50a60d9de06ce9bb25963d7d7e64
entity-essentials;JMH_BENCHMARK_METHOD_FOUND;4;4d4ad6060caa4f5694ac1566faf954a71f81eb9f
entity-essentials;JMH_STATE_FINAL_FIELD;18;4d4ad6060caa4f5694ac1566faf954a71f81eb9f
entity-essentials;JMH_IGNORED_METHOD_RETURN;1;4d4ad6060caa4f5694ac1566faf954a71f81eb9f
hasher;JMH_BENCHMARK_METHOD_FOUND;18;f988b7c0c9cc2a387982df5579bacd26020cc5b7
hasher;JMH_STATE_FINAL_FIELD;38;f988b7c0c9cc2a387982df5579bacd26020cc5b7
handlers;JMH_BENCHMARK_METHOD_FOUND;1;3bbbeb05fb131f53bc4f24f4f47c9628dca02fcb
handlers;JMH_LOOP_INSIDE_BENCHMARK;1;3bbbeb05fb131f53bc4f24f4f47c9628dca02fcb
benchmark-arraycopy;JMH_BENCHMARK_METHOD_FOUND;14;7266e7cd24e005fa015085d5a140718ae4d98064
benchmark-arraycopy;JMH_LOOP_INSIDE_BENCHMARK;7;7266e7cd24e005fa015085d5a140718ae4d98064
benchmark-arraycopy;JMH_NOTFORKED_BENCHMARK;2;7266e7cd24e005fa015085d5a140718ae4d98064
benchmark-arraycopy;JMH_STATE_FINAL_FIELD;71;7266e7cd24e005fa015085d5a140718ae4d98064
java-benchmarks;JMH_STATE_FINAL_FIELD;63;7699b35cc6505fc50ab09e4f8b7682697f2f2611
java-benchmarks;JMH_BENCHMARKMODE_SINGLESHOT;2;7699b35cc6505fc50ab09e4f8b7682697f2f2611
java-benchmarks;JMH_BENCHMARK_METHOD_FOUND;17;7699b35cc6505fc50ab09e4f8b7682697f2f2611
java-benchmarks;JMH_LOOP_INSIDE_BENCHMARK;30;7699b35cc6505fc50ab09e4f8b7682697f2f2611
expire-threadlocal;JMH_BENCHMARK_METHOD_FOUND;6;23b32b740503de3a1bf8c97ad7b9f004fe440698
expire-threadlocal;JMH_IGNORED_METHOD_RETURN;5;23b32b740503de3a1bf8c97ad7b9f004fe440698
expire-threadlocal;JMH_STATE_FINAL_FIELD;8;23b32b740503de3a1bf8c97ad7b9f004fe440698
bloomfilter;JMH_BENCHMARK_METHOD_FOUND;11;577f58f4021b92fb316ad91b892043db44433407
bloomfilter;JMH_LOOP_INSIDE_BENCHMARK;11;577f58f4021b92fb316ad91b892043db44433407
bloomfilter;JMH_IGNORED_METHOD_RETURN;5;577f58f4021b92fb316ad91b892043db44433407
bloomfilter;JMH_STATE_FINAL_FIELD;33;577f58f4021b92fb316ad91b892043db44433407
ohc;JMH_BENCHMARK_METHOD_FOUND;8;5d17c6a7ce623deb78b185efde598c8b9158aa5d
ohc;JMH_STATE_FINAL_FIELD;37;5d17c6a7ce623deb78b185efde598c8b9158aa5d
ohc;JMH_IGNORED_METHOD_RETURN;6;5d17c6a7ce623deb78b185efde598c8b9158aa5d
reactivesocket-java;JMH_BENCHMARK_METHOD_FOUND;7;5d17c6a7ce623deb78b185efde598c8b9158aa5d
reactivesocket-java;JMH_LOOP_INSIDE_BENCHMARK;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
reactivesocket-java;JMH_STATE_FINAL_FIELD;31;5d17c6a7ce623deb78b185efde598c8b9158aa5d
gumtree;JMH_BENCHMARK_METHOD_FOUND;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
gumtree;JMH_STATE_FINAL_FIELD;6;5d17c6a7ce623deb78b185efde598c8b9158aa5d
java-eid-exceptions;JMH_BENCHMARK_METHOD_FOUND;9;5d17c6a7ce623deb78b185efde598c8b9158aa5d
java-eid-exceptions;JMH_LOOP_INSIDE_BENCHMARK;13;5d17c6a7ce623deb78b185efde598c8b9158aa5d
java-eid-exceptions;JMH_STATE_FINAL_FIELD;6;5d17c6a7ce623deb78b185efde598c8b9158aa5d
